,genre_ids,title,popularity,vote_average,vote_count,studio,year,domestic_gross
1723,"[12, 35, 16, 10751]",The Peanuts Movie,11.344000000000001,6.6,894,Fox,2015,130199999.0
1725,"[16, 18]",When Marnie Was There,11.134,7.8,683,GK,2015,561000.0
1735,"[16, 35, 18, 10749]",Anomalisa,10.285,7.1,927,Par.,2015,3800000.0
1736,"[16, 35, 18, 10749]",Anomalisa,10.285,7.1,927,Par.,2015,3800000.0
1764,"[10751, 16, 12, 35]",Minions,9.338,6.4,7343,Uni.,2015,336000000.0
1803,"[35, 16, 12, 10751]",Capture the Flag,8.225,5.9,123,Par.,2015,6700.0
1853,"[10402, 16, 10751, 14]",Strange Magic,6.937,6.3,172,BV,2015,12400000.0
1904,"[878, 16]",Ghost in the Shell: The New Movie,5.239,6.5,71,FUN,2015,101000.0
1923,"[16, 10751]",My Little Pony: The Movie,4.346,5.6,21,LGF,2017,21900000.0
1924,"[10402, 12, 16, 10751, 14]",My Little Pony: The Movie,9.892999999999999,6.8,137,LGF,2017,21900000.0
1938,"[16, 10402]",Love Live! The School Idol Movie,2.9819999999999998,7.5,13,AZ,2015,116000.0
1949,"[12, 10751, 16]",Back to the Jurassic,2.468,5.2,9,CJ,2015,4400.0
1959,"[12, 35, 10751, 16]",Moana,4.419,7.5,6907,BV,2016,248800000.0
1960,"[12, 35, 10751, 16]",Moana,4.419,7.5,6907,BV,2016,248800000.0
1998,"[10749, 16, 18]",Your Name.,28.238000000000003,8.6,4161,FUN,2017,5000000.0
1999,"[10749, 16, 18]",Your Name.,28.238000000000003,8.6,4161,FUN,2017,5000000.0
2001,"[16, 12, 10751, 35]",Zootopia,27.549,7.7,9977,BV,2016,341300000.0
2019,"[12, 16, 10751, 35]",Ice Age: Collision Course,18.233,5.9,2430,Fox,2016,64099999.0
2021,"[16, 12, 35]",The Angry Birds Movie,17.998,6.0,1851,Sony,2016,107500000.0
2024,"[16, 35, 18, 10751]",Sing,17.572,6.9,4303,Uni.,2016,270400000.0
2025,"[16, 35, 18, 10751]",Sing,17.572,6.9,4303,Uni.,2016,270400000.0
2041,"[12, 10751, 35, 14, 10402, 16]",Trolls,16.285999999999998,6.6,1880,Fox,2016,153700000.0
2042,"[12, 10751, 35, 14, 10402, 16]",Trolls,16.285999999999998,6.6,1880,Fox,2016,153700000.0
2045,"[28, 12, 16, 35, 10751]",Kung Fu Panda 3,16.248,6.7,2944,Fox,2016,143500000.0
2052,"[12, 16, 35, 10751]",Finding Dory,15.392999999999999,7.0,7845,BV,2016,486300000.0
2054,"[12, 16, 35, 14]",Sausage Party,15.232000000000001,5.6,4237,Sony,2016,97700000.0
2069,"[16, 12, 10751]",Kubo and the Two Strings,13.847000000000001,7.7,2029,Focus,2016,48000000.0
2097,"[12, 16, 35, 10751]",Storks,12.100999999999999,6.5,1308,WB,2016,72700000.0
2141,"[12, 35, 16, 10751]",The Secret Life of Pets,9.908999999999999,6.1,5374,Uni.,2016,368400000.0
2148,"[28, 16, 80, 18]",Batman: The Killing Joke,9.595,6.3,879,Fathom,2016,3800000.0
2155,"[12, 16, 35, 10751]",Norm of the North,9.325,4.2,192,LGF,2016,17100000.0
2184,"[12, 16, 14, 10751]",The Little Prince,8.512,7.6,1493,EOne,2016,1300000.0
2189,"[28, 12, 16, 10751]",Ratchet & Clank,8.439,5.5,332,Focus,2016,8800000.0
2269,"[16, 18, 36]",Miss Hokusai,5.071000000000001,6.9,52,GK,2016,223000.0
2298,"[16, 14, 9648]",Phantom Boy,1.8840000000000001,7.0,22,GK,2016,34400.0
2324,"[16, 10751, 35, 12, 14]",Coco,25.961,8.2,8669,BV,2017,209700000.0
2325,"[16, 10751, 35, 12, 14]",Coco,25.961,8.2,8669,BV,2017,209700000.0
2348,"[16, 10751, 12, 35]",Ferdinand,19.479,7.1,1425,Fox,2017,84400000.0
2349,"[16, 10751, 12, 35]",Ferdinand,19.479,7.1,1425,Fox,2017,84400000.0
2352,"[12, 16, 35, 10751]",Cars 3,18.427,6.7,2596,BV,2017,152900000.0
2353,"[28, 16, 35, 10751]",Captain Underpants: The First Epic Movie,18.31,6.0,587,Fox,2017,73900000.0
2362,"[28, 16, 35, 10751, 12]",Despicable Me 3,16.407,6.3,4106,Uni.,2017,264600000.0
2368,"[12, 16, 35, 10751]",Smurfs: The Lost Village,15.663,6.2,736,Sony,2017,45000000.0
2384,"[16, 10751, 35]",The Emoji Movie,14.88,5.4,1447,Sony,2017,86100000.0
2391,"[35, 12, 10751, 14, 16]",The Star,14.53,5.4,233,Sony,2017,40900000.0
2404,"[18, 16, 10749]",A Silent Voice,13.187000000000001,8.3,1034,Elev.,2017,310000.0
2407,"[16, 35, 10751]",The Son of Bigfoot,12.58,6.5,162,VPD,2018,289000.0
2435,"[12, 16, 35, 10751, 10402]",Rock Dog,10.362,5.7,123,LG/S,2017,9400000.0
2442,"[16, 18, 9648]",Loving Vincent,10.025,8.2,1200,Good Deed,2017,6700000.0
2443,"[16, 18, 9648]",Loving Vincent,10.025,8.2,1200,Good Deed,2017,6700000.0
2459,"[28, 12, 14, 10749, 16, 878]",Sword Art Online: The Movie - Ordinal Scale,9.147,7.6,236,Elev.,2017,1500000.0
2462,"[10751, 16, 12, 35]",The Nut Job 2: Nutty by Nature,8.975,5.7,227,ORF,2017,28400000.0
2470,"[14, 12, 16]",Mary and the Witch's Flower,8.478,7.1,336,GK,2018,2400000.0
2471,"[14, 12, 16]",Mary and the Witch's Flower,8.478,7.1,336,GK,2018,2400000.0
2477,"[10751, 16]",The Big Bad Fox and Other Tales,8.292,7.4,87,GK,2018,35800.0
2480,"[16, 18, 10752, 10751]",The Breadwinner,8.208,7.9,277,GK,2017,312000.0
2482,"[16, 18, 10751]",My Life as a Zucchini,8.039,7.8,591,GK,2017,310000.0
2494,"[16, 35, 10751]",The Boss Baby,7.445,6.4,4314,Fox,2017,175000000.0
2498,"[18, 16]",In This Corner of the World,7.167999999999999,8.1,178,FUN,2017,172000.0
2508,"[16, 18, 14, 10751]",The Red Turtle,6.697,7.6,555,SPC,2017,922000.0
2526,"[14, 12, 16, 18, 878]",Napping Princess,4.687,6.5,30,GK,2017,48200.0
2552,"[10751, 16, 35, 14, 12]",Ralph Breaks the Internet,48.056999999999995,7.2,2626,BV,2018,201100000.0
2559,"[28, 12, 16, 10751]",Incredibles 2,36.286,7.6,6354,BV,2018,608600000.0
2575,"[10751, 14, 35, 16]",Hotel Transylvania 3: Summer Vacation,26.815,6.8,1673,Sony,2018,167500000.0
2577,"[16, 10751, 12, 14]",Smallfoot,26.230999999999998,6.6,600,WB,2018,83200000.0
2617,"[10751, 35, 16, 12]",Early Man,16.675,5.9,338,LGF,2018,8300000.0
2625,"[16, 12, 10751]",Peter Rabbit,15.974,6.5,650,Sony,2018,115300000.0
2641,"[10749, 16, 35, 10751, 14, 9648, 12]",Sherlock Gnomes,12.987,5.4,343,Par.,2018,43200000.0
2670,"[16, 28, 35, 14, 12]",My Hero Academia: Two Heroes,9.713,8.3,134,FUN,2018,5800000.0
2676,"[16, 14, 12, 10751]",Mirai,8.976,7.4,165,GK,2018,813000.0
2698,"[16, 10751, 12]",Elliot: The Littlest Reindeer,2.903,3.4,7,Scre.,2018,24300.0
2699,"[28, 12, 16]",Bilal: A New Breed of Hero,2.707,6.8,54,VE,2018,491000.0
